first_name,second_name
Scott,Carson
Cole,Palmer
Tommy,Doyle
Aaron,Wan-Bissaka
Harry,Maguire
Victor,Lindelöf
Eric,Bailly
Marcus,Rashford
Mason,Greenwood
David,de Gea
Lee,Grant
Paul,Pogba
Anthony,Martial
Jesse,Lingard
Juan,Mata
Daniel,James
Frederico,Rodrigues de Paula Santos
Nemanja,Matic
Scott,McTominay
Brandon,Williams
Bruno Miguel,Borges Fernandes
Matt,Ritchie
Federico,Fernández
Javier,Manquillo
Martin,Dubravka
Karl,Darlow
Miguel,Almirón
Jonjo,Shelvey
Sean,Longstaff
Isaac,Hayden
Joelinton Cássio,Apolinário de Lira
Allan,Saint-Maximin
Andy,Carroll
Matthew,Longstaff
Dwight,Gayle
Ben,Godfrey
Jamal,Lewis
Lys,Mousset
Enda,Stevens
Jack,O'Connell
George,Baldock
John,Egan
John,Lundstram
Billy,Sharp
John,Fleck
Oliver,Norwood
David,McGoldrick
Chris,Basham
Phil,Jagielka
Dean,Henderson
Ben,Osborn
Oliver,McBurnie
Jack,Robinson
Sander,Berge
Jannik,Vestergaard
Ryan,Bertrand
Jan,Bednarek
Jack,Stephens
Danny,Ings
Michael,Obafemi
Alex,McCarthy
Nathan,Redmond
James,Ward-Prowse
Stuart,Armstrong
Pierre-Emile,Højbjerg
Oriol,Romeu Vidal
Kyle,Walker-Peters
Che,Adams
Daniel,N'Lundulu
Harry,Lewis
Alexandre,Jankewitz
Will,Ferry
Ben,Davies
Ben,Davies
Toby,Alderweireld
Davinson,Sánchez
Serge,Aurier
Harry,Kane
Hugo,Lloris
Heung-Min,Son
Bamidele,Alli
Lucas,Rodrigues Moura da Silva
Erik,Lamela
Harry,Winks
Moussa,Sissoko
Eric,Dier
Giovani,Lo Celso
Steven,Bergwijn
Abdoulaye,Doucouré
Craig,Dawson
Danny,Welbeck
Angelo,Ogbonna
Arthur,Masuaku
Ryan,Fredericks
Issa,Diop
Fabián,Balbuena
Ben,Johnson
Lukasz,Fabianski
Michail,Antonio
Manuel,Lanzini
Andriy,Yarmolenko
Declan,Rice
Mark,Noble
Pablo,Fornals
David,Martin
Darren,Randolph
Tomas,Soucek
Jarrod,Bowen
Conor,Coventry
Matt,Doherty
Conor,Coady
Willy,Boly
Romain,Saïss
Max,Kilman
Raúl,Jiménez
Diogo,Jota
Rui Pedro,dos Santos Patrício
John,Ruddy
Rúben Diogo,da Silva Neves
João Filipe Iria,Santos Moutinho
Morgan,Gibbs-White
Adama,Traoré
Leander,Dendoncker
Taylor,Perry
Owen,Otasowie
Luke,Cundle
Leonardo,Campana
Cédric,Soares
Alexandre,Lacazette
Bernd,Leno
Granit,Xhaka
Calum,Chambers
Rob,Holding
Nicolas,Pépé
Edward,Nketiah
Emile,Smith Rowe
Bukayo,Saka
Gabriel Teodoro,Martinelli Silva
Gabriel,Magalhães
Mohamed Naser,El Sayed Elneny
Martin,Ødegaard
Miguel,Azeez
Emiliano,Martínez
