assists,element_type,clean_sheets,creativity,goals_conceded,goals_scored,minutes,influence,points_per_game,saves,bonus,yellow_cards,total_points,total_points_next
4,4,4,207,15,10,1056,484,6,0,12,0,87,205
0,3,0,5,2,0,81,8,1,0,0,0,3,4
0,1,6,20,61,0,3420,790,2,111,6,2,112,63
0,1,0,0,0,0,0,0,0,0,0,0,0,46
1,2,5,65,53,2,2764,870,2,0,9,5,83,85
3,2,6,115,59,2,3352,932,2,0,8,5,102,120
6,3,4,602,33,2,1988,362,2,0,5,1,85,33
3,3,2,646,38,5,2003,492,3,0,13,0,97,181
2,4,6,288,33,8,1981,392,3,0,13,0,102,168
0,4,1,69,16,2,581,120,1,0,3,1,36,28
4,4,7,556,38,8,2450,577,3,0,10,3,110,141
0,2,0,0,2,0,71,6,1,0,0,0,1,10
0,3,0,12,1,0,58,5,1,0,0,0,1,1
0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,10,0,54,0,3420,911,3,124,13,0,146,104
1,2,10,147,54,1,3420,1002,2,0,7,7,97,91
2,2,10,98,52,0,3292,1027,2,0,7,8,100,115
0,2,10,174,23,0,2014,360,3,0,8,3,84,46
0,2,6,154,36,0,2237,346,2,0,5,2,63,48
1,3,11,557,29,3,2415,404,2,0,6,4,88,74
3,3,10,272,50,0,3240,625,2,0,2,6,87,65
0,3,1,137,14,0,735,111,1,0,0,2,25,36
3,3,6,320,29,1,1838,357,2,0,3,3,74,94
8,3,10,1311,46,7,2928,735,4,0,24,2,164,80
0,4,8,271,36,12,2184,492,3,0,16,9,111,129
0,2,4,105,18,0,1178,187,2,0,3,0,38,0
0,2,0,99,30,0,1313,210,1,0,0,3,20,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,24,8,1,221,50,2,0,2,0,16,52
0,1,0,0,4,0,305,53,2,8,0,0,8,58
3,2,8,264,26,0,2295,574,3,0,4,1,89,34
1,2,9,270,27,1,2460,498,3,0,9,1,102,7
1,2,11,98,30,0,2790,822,3,0,4,5,101,97
2,2,4,64,21,1,1440,460,3,0,6,1,57,16
0,2,2,86,12,0,949,184,2,0,0,3,23,82
9,3,10,1052,33,2,2831,599,3,0,7,2,117,92
2,3,9,408,28,2,2326,265,2,0,1,1,85,73
1,3,2,134,17,0,1105,182,1,0,1,2,35,111
1,3,12,332,39,2,3420,589,2,0,6,7,100,87
4,3,6,203,30,0,1906,232,2,0,0,2,65,41
0,2,4,117,13,0,1125,229,2,0,0,5,33,33
0,1,11,40,35,0,3114,862,4,113,19,3,152,0
1,4,10,203,11,10,1621,442,4,0,20,1,104,131
0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,1,0,1,0,0,0,1,75
1,4,5,311,11,7,981,307,2,0,10,0,77,55
0,1,1,0,4,0,270,55,3,7,0,0,11,13
6,2,15,535,38,2,3330,967,4,0,25,1,175,158
0,2,9,55,27,0,2082,496,2,0,2,1,74,2
2,2,13,549,30,7,2855,697,5,0,15,6,165,161
6,3,12,1127,27,12,2417,928,5,0,24,2,173,238
8,3,9,891,19,6,1874,640,3,0,13,1,130,108
2,3,8,410,14,4,1511,338,2,0,2,1,81,112
2,3,16,638,32,1,2994,676,3,0,9,3,101,116
0,3,0,34,4,0,129,21,1,0,0,0,3,79
0,3,1,88,7,1,520,116,2,0,1,0,24,0
0,2,8,66,23,0,2067,466,2,0,4,0,79,22
1,2,5,245,15,1,1087,255,2,0,1,0,58,9
1,2,1,28,4,0,278,61,2,0,0,0,14,22
5,3,6,377,30,2,1871,379,3,0,2,1,77,79
